AuthorsWhoPublishedContinually
Abdellatif Zaidi
Wyatt S. Newman
Xiaofang Zhou 0001
Yasuo Ebara
Yingxu Wang
Yong Shi
Yoshihiro Kawahara
Yoshitaka Shibata
Yun-Hui Liu
Zexiang Li
Aaron Steinfeld
Adi Botea
Adriano Camps
Akihiro Fujihara
Akira Iwasaki
Alberto Moreira
Alessandro E. P. Villa
Andreas Reigber
Andreas Wiesmann
Antonio Rius
Begüm Demir
Bernhard Rinner
Bhargab B. Bhattacharya
Bo-Hui Tang
Bruce Trask
C. P. Ravikumar
Carlos López-Martínez
Carmel Domshlak
Carsten Montzka
Christoph Hellings
Christopher Ruf
Chuanrong Li
Conor Ryan
Cyril Fonlupt
David Chaum
Derek Long
Devis Tuia
Eitan Altman
Elisa Bertino
Emanuele Santi
Emmanuel Trouvé
Enrico Franconi
Fabio Del Frate
Farid Melgani
Fatos Xhafa
Florian Kugler
Frank Wolter
Gabriel Vasile
Giorgos B. Stamou
Giorgos Stoilos
Giovanni Schiavon
Giuseppe De Giacomo
Hamdi Aloulou
Hao Chen 0004
Hao Liu 0001
Helmut Rott
Hiroshi Ishiguro
Hiroyoshi Miwa
Hiroyoshi Yamada
Hiroyuki Wakabayashi
Hong Zhang 0001
Ian Horrocks
Irith Pomeranz
Ivan Damgård
Ji Wu
Jiancheng Shi 0001
Jie Chen 0009
Jie Guang
Jindrich Matousek
Jing Li
Jing Wang
Jirí Hrebícek
Jocelyn Chanussot
Jodi Forlizzi
John D. McGregor
Jordi Inglada
José M. Bioucas-Dias
Jouni Pulliainen
Junping Zhang
Jure Leskovec
Kamal Sarabandi
Kenta Obata
Kostas Papathanassiou
Lamei Zhang
Linna Chai
Mahta Moghaddam
Mantas Simkus
Manuel Martín-Neira
Marco Chini
Martin Haardt
Martin Homola
Marwan Younis
Mathieu Fauvel
Meghyn Bienvenu
Mercè Vall-Llossera
Michael Eineder
Minda Le
Ming C. Lin
Munmun De Choudhury
Nazzareno Pierdicca
Paolo Pampaloni
Pau Prats
Paul Grünbacher
Peggy O'Neill
Pengbo Wang
Rafael Peñaloza
Rainer Böhme
Ralf Möller 0001
Richard Bamler
Roman Kontchakov
Ronald Fedkiw
Santi Caballé
Shai Halevi
Siddhartha S. Srinivasa
Simonetta Paloscia
Stefano Tebaldini
Takayuki Kanda 0001
Tao Sun
Tao Zhang
Tim Harris 0001
V. Chandrasekar 0001
Volker Haarslev
Waldo Kleynhans
Waymond R. Scott
Wenxian Yu
Xiaowen Li
Yan Zhang
Ye Zhang 0008
Yevgeny Kazakov
Yisok Oh
Yuliya Tarabalka
Zdenek Hanzlícek
Øystein Haugen
A. C. Cem Say
Aaron C. Courville
Alex Pentland
Ambuj Tewari
Andrea Scharnhorst
Anton van den Hengel
Ashish Goel
Attila Szolnoki
Björn E. Ottersten
Calin Belta
Christina Fragouli
Christoph Lenzen
Claudio De Persis
Constantinos Daskalakis
Csaba D. Tóth
Cunsheng Ding
Dacheng Tao
Daniel Kroening
Daniela Tuninetti
David Balduzzi
Deniz Gündüz
Dongning Guo
Eduard A. Jorswieck
Eitan Altman
Emiliano De Cristofaro
Erik D. Demaine
Fedor V. Fomin
Franco Chiaraluce
Frank Schweitzer
George Kesidis
Giuseppe Caire
Haim Kaplan
Hideo Bannai
Ignasi Sau
J. Andrew Bagnell
Jan A. Bergstra
Jean-François Raskin
Jianwei Huang
Jie Xu 0002
John C. S. Lui
John Lygeros
Jonathan Ullman
Joseph Y. Halpern
Jure Leskovec
Justin Thaler
Kannan Ramchandran
Khaled Ben Letaief
Kimmo Kaski
Krishnendu Chatterjee
Lenka Zdeborová
Marcin Pilipczuk
Marco Baldi
Mark M. Wilde
Masahito Hayashi
Masayuki Takeda
Matjaz Perc
Meixia Tao
Michael L. Nelson
Michael Mitzenmacher
Michael W. Mahoney
Mikhail Belkin
Mohamed-Slim Alouini
Monika Henzinger
Ohad Shamir
Osvaldo Simeone
Paolo Bientinesi
Patrick Jaillet
Philipp Mayr 0001
Pierre Vandergheynst
Piotr Faliszewski
Rajkumar Buyya
Renaud Lambiotte
Richard G. Baraniuk
Robert Schober
Robert W. Heath Jr.
Sanjay Shakkottai
Sariel Har-Peled
Sennur Ulukus
Shlomo Shamai
Shunsuke Inenaga
Sriram Vishwanath
Subhash C. Kak
Suhas N. Diggavi
Sundeep Rangan
Sushant Sachdeva
Sven Schewe
Sébastien Bubeck
Sébastien Tixeuil
Tong Zhang 0001
Travis Gagie
Venkatesh Saligrama
Warren J. Gross
Xiangyun Zhou 0001
Xiaoming Sun
Xin Yao 0001
Yann LeCun
Yoshua Bengio
Zhu Han
Ami Wiesel
Andrew K. Skidmore
Anthony F. J. van Raan
Asaf Levin
Athina P. Petropulu
Ba-Ngu Vo
Bhaskar D. Rao
Björn E. Ottersten
Bruce Schneier
Chi-Wang Shu
Christof Ebert
Chrysostomos L. Nikias
Claude Brezinski
Costas S. Iliopoulos
David Callan
David N. Blank-Edelman
Diane Crawford
Diomidis Spinellis
Dominique de Werra
Donald E. Knuth
Elizabeth Zwicky
Elliot Soloway
Emeric Deutsch
Fred B. Schneider
Gary McGraw
George V. Neville-Neil
Gerald L. Alexanderson
Gerhard J. Woeginger
Grady Booch
Hing-Cheung So
Isabel de la Torre Díez
Jayme Luiz Szwarcfiter
Johnny Guzmán
Loren C. Larson
Michael Unser
Moeness G. Amin
Neil A. M. Maiden
Neil Savage
Olivier Besson
Ramesh C. Jain
Ray J. Paul
Richard Bagby
Rik Farrow
Rob Kolstad
Robert M. Haralick
Robert W. Heath Jr.
Robin Chapman
Roland T. Chin
Samuel Greengard
Seymour E. Goodman
Shari Lawrence Pfleeger
Stanley J. Osher
Thomas Kailath
Truong Q. Nguyen
Wing-Kin Ma
Xiaojun Chen 0001
Xiaoou Tang
Yang Xiang 0001
Yuh-Shan Ho
Zhi Ding 0001
Adam Wierman
Adlen Ksentini
Andreas Riener
Antonello Monti
Antonio Cataliotti
Arumugam Nallanathan
Azzedine Boukerche
Biswanath Mukherjee
Björn E. Ottersten
Bridget Kane
Bruce N. Walker
C.-C. Jay Kuo
Caetano Traina Jr.
Charles L. A. Clarke
Cheng Li 0005
Christoph Lange 0002
Christos Faloutsos
Costas S. Iliopoulos
Craig Macdonald
Dacheng Tao
Danijela Cabric
David A. Grossman
David Taniar
Denis Trystram
Dennis E. Shasha
Dharma P. Agrawal
Diane Kelly 0001
Divesh Srivastava
Donna K. Harman
Eduard A. Jorswieck
Ekram Hossain
Enrico Pontelli
Evimaria Terzi
F. Richard Yu
Ferdinanda Ponci
Francesco Bonchi
Fredric C. Gey
Frédérick Bénaben
Gordon V. Cormack
Guido Rößling
Gustavo Zurita
H. Jonathan Chao
H. V. Jagadish
Hans-Peter Kriegel
Heikki Mannila
Hideki Ochiai
Hideo Bannai
Hideo Masuda
Hong Ji 0001
Hsiao-Chun Wu
Huaiyu Dai
Ismail Güvenç
Jaakko Astola
Jaap Kamps
Jacob O. Wobbrock
Jamie Callan
Jan Holub 0001
Janet C. Read
Jason P. Jue
Jean-Baptiste Begueret
Jelena V. Misic
Jian Pei
Jiannong Cao 0001
Jianwei Huang
Jimeng Sun
Jiming Chen 0001
Jing Li
John Ashley Burgoyne
José A. Pino
José Duato
José Luís Güntzel
Juan Pablo Bello
Jure Leskovec
Kam-Pui Chow
Khaled Ben Letaief
Li Wang
Lorenzo Peretto
Lori P. Buckland
Maode Ma
Marco Di Renzo
Marcos R. S. Borges
Markku J. Juntti
Matthias Hagen
Matti Latva-aho
Michael J. Carey 0001
Mohamed-Slim Alouini
Mohammed Nafie
Mohsen Guizani
Monica Landoni
Murray Turoff
Naofal Al-Dhahir
Neelesh B. Mehta
Nirwan Ansari
Padhraic Smyth
Paolo Attilio Pegoraro
Pedro Antunes
Philip S. Yu
Qiang Yang 0001
Robert Schober
Robert W. Heath Jr.
Romano Fantacci
Rongxing Lu
Sally Jo Cunningham
Sennur Ulukus
Shi Jin 0002
Shiri Azenkot
Shiwen Mao
Song Guo 0001
Sos S. Agaian
Stephen E. Robertson
Stephen L. Scott
Stephen Tomlinson
Sujeet Shenoi
Tao Jiang 0002
Upamanyu Madhow
Victor C. M. Leung
Victor O. K. Li
Vijay K. Bhargava
Vincent W. S. Wong
Volker Markl
Wei Chen
Wei Yu 0001
Wei Zhang 0001
Wilhelmus A. M. Van Noije
Wolfgang A. Halang
Xi Zhang
Xiangyu Zhang 0001
Xiao Hu 0001
Xiaodong Lin
Xiqi Gao
Yann Deval
Yao-Wen Chang
Yi Qian
Yizhou Sun
Zhangdui Zhong
Zhu Han
Abbas El Gamal
Albert Guillen i Fabregas
Alexander Vardy
Ashish Khisti
Carlo Giovannella
Chao Wang
Chin-Chen Chang 0001
Claude Carlet
Cláudio T. Silva
Cunsheng Ding
Daniel Weiskopf
David M. Mandelbaum
Dieter Schmalstieg
Dongning Guo
Ekram Hossain
Feng Liu
Gennian Ge
George K. Thiruvathukal
Giuseppe Caire
Gregory W. Wornell
Hsiao-Hwa Chen
Huamin Qu
Jocelyn Chanussot
Kai Wang
Kannan Ramchandran
Khaled Ben Letaief
Kiyoshi Asai
Leon O. Chua
Lifeng Lai
M. Eduard Gröller
Mei-Ling Shyu
Mohamad Sawan
Mohsen Guizani
Moshe Schwartz 0001
Niraj K. Jha
Nirwan Ansari
Paul F. Dubois
Paul H. Siegel
Pingzhi Fan
Ramjee Prasad
Roy D. Yates
Rudolf Ahlswede
Sennur Ulukus
Shi Jin 0002
Shlomo Shamai
Simon Litsyn
Suhas N. Diggavi
Svetlana Cojocaru
Takayuki Kanda 0001
Tamás Linder
Tao Jiang 0002
Thomas Ertl
Thomas Kailath
Tuvi Etzion
Uri Erez
Valeria Simoncini
Victor C. M. Leung
Vijay K. Bhargava
Viveck R. Cadambe
Wei Yu 0001
Xiang-Gen Xia 0001
Xiqi Gao
Yong Shi
Zhu Han
Adelio Salsano
Alessandro Longheu
Arthur H. M. van Roermund
Azzedine Boukerche
Behrouz Nowrouzian
Chua-Chin Wang
Daniel A. Keim
David G. Novick
David J. Allstot
Dennis Sylvester
Didier Le Ruyet
Eby G. Friedman
Erik D. Demaine
Fabio Crestani
Fernando Corinto
Franco Maloberti
Gareth J. F. Jones
Gianluca Setti
Giovanni De Micheli
Giuseppe Mangioni
Guangming Shi
Guohong Cao
Gustavo Rossi
Hendrik Blockeel
Hiroo Sekiya
Hoi-Jun Yoo
Hon Keung Kwan
Hongfei Lin
In-Cheol Park
Insup Lee
Ioannis Pratikakis
Irith Pomeranz
J. J. Garcia-Luna-Aceves
John A. Stankovic
John C. Grundy
Kai Wang
Kang G. Shin
Kangbin Yim
Katsumi Inoue
Ke-Horng Chen
Krisztian Balog
Lee-Sup Kim
Leif Azzopardi
Li Wang
Magdy A. Bayoumi
Marco Brambilla 0001
Marco Gilli
Marco Re
Marco Storace
Margaret M. Burnett
Marian K. Kazimierczuk
Marijn Janssen
Massimo Alioto
Massimo Violante
Matteo Sonza Reorda
Miguel Rocha
Ming-Der Shieh
Ming-Dou Ker
Mohamad Sawan
Myung Hoon Sunwoo
Nam Ling
Onur Demirörs
Oscal T.-C. Chen
Oscar C. Au
Paolo Bottoni
Paulo S. R. Diniz
Piero Mussio
Pui-In Mak
Rainer Malaka
Rodrigo Sandoval-Almazán
Roman Wyrzykowski
Rudolf Eigenmann
Salvatore Pennisi
Shanthi Pavan
Shih-Chii Liu
Stamatis Vassiliadis
Stefan Langerman
Stefano Levialdi
Sunil P. Khatri
Tao Li
Tarek F. Abdelzaher
Theoharis Theoharis
Tughrul Arslan
Victor C. M. Leung
Viktor Gruev
Wei Chen
Wei Wang
Wei Xing Zheng 0001
Wei-Ping Zhu
Wouter A. Serdijn
Wu-Sheng Lu
Wu-Shiung Feng
Xue Liu 0001
Yan Wang
Yixin Chen
Yong Ching Lim
Yoshifumi Nishio
Yvon Savaria
Zhihao Yang
Aamer Chughtai
Abhijeet Sangwan
Alan Burns
Alexander I. Rudnicky
Andreas Riel
Anne Cutler
Anton Batliner
Axel Polleres
Baowei Fei
Berkman Sahiner
Bhiksha Raj
Bijan Parsia
Bin Ma
Chin-Hui Lee
Chisako Muramatsu
Chris Davis 0001
Christian S. Jensen
Clement T. Yu
Climent Nadeu
Constantine Stephanidis
Deborah L. McGuinness
Dimitrios Soudris
Divesh Srivastava
Dong Yu 0001
Edward A. Fox
Elisa Bertino
Ella A. Kazerooni
Emily F. Conant
Emma Hart
Eric Castelli
Fabio Casati
Fabio Valente
Fedor V. Fomin
Fernando Bobillo
Florian Eyben
Florian Metze
Frédéric Berthommier
Fumitada Itakura
Gauthier Picard
Géraldine Damnati
Haixun Wang
Haizhou Li 0001
Hansjörg Mixdorff
Harith Alani
Heidi Christensen
Hermann Ney
Hervé Bourlard
Hideki Kasuya
Hiroshi Fujita 0001
Hiroyuki Yoshida
Hsiao-Chuan Wang
Ian Horrocks
Isabel F. Cruz
Jack J. Dongarra
Jan Cernocký
Jan Ehrhardt
Jane Hunter
Javier Ferreiros
Javier Hernando
Jean-Luc Gauvain
Jerry L. Prince
Jian Pei
Jianhua Tao
John A. Stankovic
John H. L. Hansen
José Manuel Pardo
Juan F. Sequeda
Julien Epps
Jérôme Euzenat
Kai-Uwe Sattler
Kamin Whitehouse
Karl Aberer
Katsuhiko Shirai
Kazjon Grace
Keiichi Tokuda
Keikichi Hirose
Kensaku Mori
Korin Richmond
Kunio Doi
L. Rodney Long
Laila Dybkjær
Laurent Besacier
Li Deng 0001
Li-Rong Dai 0001
Lori Lamel
Lubomir M. Hadjiiski
Mani B. Srivastava
Mark Hasegawa-Johnson
Mary Lou Maher
Mehmet A. Orgun
Michael S. Waterman
Mirjam Ernestus
Nick Campbell 0001
Nico Karssemeijer
Nicola Fanizzi
Niels Ole Bernsen
Oleg B. Makarevich
Paavo Alku
Panos K. Chrysanthis
Peng Wang
Phil D. Green
Philip N. Garner
Philip S. Yu
Philippe Maurine
Pierre Badin
Pietro Laface
Ralf Schlüter
Richard Messnarz
Roger K. Moore
Roland Wismüller
Rolf Drechsler
Ron Shamir
Ruben Verborgh
Ruhi Sarikaya
Shih-Chung Benedict Lo
Shingo Kuroiwa
Shinji Watanabe 0001
Shrikanth S. Narayanan
Simon Colton
Simon King
Smita Patel
Sri Harish Reddy Mallidi
Sriram Ganapathy
Steven Furnell
Sungbok Lee
Sébastien Tixeuil
Takahiro Shinozaki
Takao Kobayashi
Takayuki Arai
Takeshi Hara
Tan Lee
Tarek F. Abdelzaher
Tatsuya Kawahara
Tomoki Toda
Tony Veale
Toshimitsu Masuzawa
Tsuneo Nitta
Uwe Aickelin
Vijaykrishnan Narayanan
Wenjie Zhang 0001
Wenju Liu
Wolfgang Nejdl
Xiaofang Zhou 0001
Xugang Lu
Xunying Liu
Yan Zhang
Yannis Kotidis
Yao Qian
Yasuo Ariki
Yonghong Yan 0002
Yuvraj Agarwal
Zhen-Hua Ling
Zhengrong Liang
Alan D. Smith
Alessandro Ferrero
Azzedine Boukerche
Bert Jüttler
Cesare Svelto
Chia-Chung Sun
Chin-Chen Chang 0001
Christophe Bérenguer
Donal O'Regan
Eli Blevis
Emiliano Sisinni
Ian F. Akyildiz
Jinde Cao
Jing Li
Jing Wang
Jing-Yao Liu
Johan Schoukens
John P. Boyd 0001
Jose Emmanuel Ramirez-Marquez
Karl Sabelfeld
Lansun Chen
Li Wang
Marco Conti
Mustapha Nourelfath
Naixue Xiong
Narciso Cerpa
Paolo Attilio Pegoraro
Peng Zhang
Peter Brusilovsky
Peter Williams
Philippe Castagliola
Piet M. T. Broersen
Rathinasamy Sakthivel
Rik Pintelon
Salvatore Baglio
Serkan Eryilmaz
Simona Salicone
Sujeet Shenoi
Susan M. Dray
William H. Woodall
Wojtek J. Bock
Ying Wang
Yong Zhang
Yuan Yan Tang

Andrea Emilio Rizzoli
Andrew Blake 0001
Anthony J. Jakeman
Carlos Gershenson
Curt Mohr
David Eppstein
Edmund K. Burke
Fred Paas
Guangquan Zhang 0001
Gwo-Jen Hwang
Harold J. Morowitz
Holger R. Maier
J. Geoffrey Chase
James C. Bezdek
John L. Casti
Larry Wos
Lei Liu
Leonidas J. Guibas
Licheng Jiao
Michael Krivelevich
Peter Schuster 0002
Ronald R. Yager
Vijay Kumar 0001
Vimla L. Patel
Wei Zhang
Wen Gao 0001
Xi Chen
Yang Yang
Alexander Raake
Altigran Soares da Silva
Andy J. Wellings
Angelos D. Keromytis
Anind K. Dey
Antonio Franchi
Aníbal Ollero
Aoying Zhou
Arianna Menciassi
Arvind
Bing Liu 0001
ChengXiang Zhai
Claudia Plant
Dan Keun Sung
Daniele D'Agostino
Darwin G. Caldwell
David Wang 0001
Dinesh Manocha
Dongyan Xu
Du Zhang
Ee-Peng Lim
Elke A. Rundensteiner
Fei Wang
Frank Dellaert
Friedrich M. Wahl
Fumihito Arai
Fumio Kanehiro
Gang Pan 0001
Gaurav S. Sukhatme
Gerard J. M. Smit
Gerd Hirzinger
Gerhard P. Fettweis
Gerhard Weikum
Giuseppe Manco 0001
Gregory D. Hager
Guang-Zhong Yang
H. Harry Asada
Hai Jin 0001
Harry E. Stephanou
Hiroaki Kikuchi
Hirochika Inoue
Hiroshi Maeda
Horst Bunke
Howie Choset
Huan Liu 0001
Hui Xiong 0001
Iadh Ounis
Igor V. Kotenko
Il Hong Suh
Ivan Merelli
James Caverlee
Jean-Pierre Merlet
Jeffrey Xu Yu
Jiafeng Guo
Jiandong Li 0001
Jin Song Dong
Jing Gao 0004
Joel W. Burdick
John C. Stamper
John F. Canny
Jonathan P. How
Judy Kay
Katsumi Tanaka
Kenneth L. McMillan
Kishor S. Trivedi
Klaus Dietmayer
Kristian Kersting
Leonard Barolli
Lynne E. Parker
Makoto Kaneko
Marcos André Gonçalves
Marie-Francine Moens
Marta Mattoso
Martin Buss
Martin Schoeberl
Mateo Valero
Matthias F. Carlsohn
Matthijs van Leeuwen
Michael Backes 0001
Michael Beetz
Michael Kaess
Mirella M. Moro
Moshe Y. Vardi
Moti Yung
Mykola Pechenizkiy
Nancy M. Amato
Naren Ramakrishnan
Neil T. Heffernan
Nikolaos Papanikolopoulos
Nobuo Kawaguchi
Olav Egeland
Oliver Brock
Paolo Robuffo Giordano
Pasquale Lops
Paul Newman 0001
Peng Liu 0005
Peng Ning
Peng Zhang 0001
Petri Mähönen
Philippe Martinet
Roland Siegwart
S. E. Salcudean
Sangbae Kim
Sarthak Misra
Sebastian Link
Sebastian Möller 0001
Shaohui Foong
Shaojie Shen
Stefano Carpin
Stephen A. Mascaro
Suguru Arimoto
Sukhan Lee 0001
Tanzeem Choudhury
Tao Li 0001
Thomas Schulze 0001
Timothy D. Barfoot
Uwe Brinkschulte
Vijay Kumar 0001
Warren P. Seering
Wen-Chih Peng
Wolfram Burgard
XiaoFeng Wang 0001
Xindong Wu 0001
Xueqi Cheng
Yanchun Zhang
Yasuhisa Hasegawa
Yasuhisa Hirata
Yasuo Kuniyoshi
Ying Zhang
Yu Sun 0001
Zheng Chen 0001
Amir Shpilka
Andrzej Wasowski
Anindya De
Arnaud Virazel
Arslan Brömme
B. John Oommen
Bernhard Haeupler
Berthold Vöcking
Betty H. C. Cheng
Bingsheng He
Birgit Vogel-Heuser
Brady Benware
Bruce H. Thomas
Christian Diedrich
Christian Kästner
Christoph Busch
Chunming Rong
Degang Chen
Dhabaleswar K. Panda
Dirk Timmermann
Edward J. McCluskey
Ee-Peng Lim
Federico Bergenti
Franz Wotawa
George Karypis
Giacomo Cabri
Giovanni Morana
Gonzalo Navarro
Gregg Rothermel
Grzegorz Bocewicz
Hai Jin 0001
Holger Giese
Hongyu Zhang 0002
Imed Hammouda
Isao Echizen
Janusz Rajski
Jeng-Shyang Pan 0001
Jianhua Ma
John Shalf
Kazuki Joe
Klara Nahrstedt
Klaus Jansen
Lee Whetsel
Lei Zhang
Leonard Barolli
Leonid A. Kalinichenko
Lionel M. Ni
Manuel Barranco
Marga Marcos
Martin Schulz 0001
Michael Nicolaidis
Min Zhang 0006
Minyi Guo
Miron Abramovici
Miryung Kim
Ngoc Thanh Nguyen
Nur A. Touba
Paolo Prinetto
Peter C. Maxwell
Peter Christen
Ricardo A. Baeza-Yates
Richard N. Taylor
Robert B. Ross
Robert C. Aitken
Rogério de Lemos
Ron Brightwell
Sajal K. Das 0001
Sam Malek
Sandeep K. Gupta
Scott Klasky
Shaoping Ma
Stefan Dobrev
Sudhakar M. Reddy
Tetsuya Kojima
Thilo Sauter
Thomas Zimmermann 0001
Tien N. Nguyen
Timothy K. Shih
Torsten Hoefler
Umberto Villano
Usman Wajid
Vamsi Paruchuri
Vipin Kumar
Vishwani D. Agrawal
W. K. Chan 0001
Wenji Mao
William A. Wallace
Wolfgang Kastner
Wouter Joosen
Wu-Tung Cheng
Xavier Franch
Xian-He Sun
Yanchun Zhang
Yannis Manolopoulos
Yervant Zorian
Yvonne Dittrich
Abdelhak M. Zoubir
Adnan M. Alattar
Alberto L. Sangiovanni-Vincentelli
Anastasios Tefas
Andreas Fischer 0002
Antonio E. Porreca
Asoke K. Nandi
B. John Oommen
Béatrice Pesquet-Popescu
Catholijn M. Jonker
Charles A. Bouman
Christian Jutten
Christos Bouras
Chung-Kuan Cheng
Cirano Iochpe
Danielle S. McNamara
David F. Brailsford
David L. Dowe
Dragan Simic
Edward R. Vrscay
Frank Dignum
Gabriel Ciobanu
Gabriele Kern-Isberner
Hiroshi Saruwatari
Hong Shen 0001
Horst Bunke
Ian Reid 0001
John-Jules Ch. Meyer
Jonathon A. Chambers
Josef Kittler
Josiane Zerubia
José Cordeiro
Leendert W. N. van der Torre
Leonard Barolli
Leopoldo E. Bertossi
Luiz Biondi Neto
Majid Mirmehdi
Manuel Graña
Marc Moreno Maza
Mario Cannataro
Mario J. Pérez-Jiménez
Markus Helfert
Michael Luck
Michael Winikoff
Michitaka Hirose
Moulay A. Barkatou
Nasir D. Memon
Olivier Terzo
Panagiotis Tsakalides
Pascal Larzabal
Peter Stone
Rafael Molina 0001
Robert B. Fisher
Rodrigo Bonacin
Saikat Chatterjee
Sergei A. Abramov
Sergios Theodoridis
Simon Parsons
Stephan Weiss 0001
Stephen Cranefield
Tamer Kahveci
Timothy F. Cootes
Torsten W. Kuhlen
Udo Hahn
Uwe Zdun
Victor R. Lesser
Virginia Dignum
Wei Zhang
William Puech
Wolfgang Lehner
Wolfram Koepf
Éric Schost
A. Martin Wildberger
Andrzej Kossakowski
Berndt Farwer
Chintha Tellambura
Dariusz Chruscinski
Dirk Van den Poel
Efstratios N. Pistikopoulos
Fengqi You
Frede Blaabjerg
Gonzalo Pajares
Gérard-André Capolino
Huaiqing Wang
Hui Wang
Jaume Miret
Johann W. Kolar
Lech Polkowski
Leo Egghe
Li Zhang
Lie-Liang Yang
Lin Cai 0001
Lior Rokach
Loet Leydesdorff
Ludwik Czaja
Lutz Bornmann
Madjid Tavana
Manfred Kudlek
Mike Thelwall
Ngoc Thanh Nguyen
Prodromos Daoutidis
Roman R. Redziejowski
Ronald Rousseau 0001
Rong-Jong Wai
Sebastian Engell
Selwyn Piramuthu
Serguei Netessine
So Young Sohn
Stefano Bistarelli
Suzette McLeod
Tho Le-Ngoc
Toufik Mansour
Vincent Larivière
Yong Li 0008
Zi-Qiang Zhu
André Schiper
Eiichiro Sumita
Gerhard Weikum
Iryna Gurevych
James R. Curran
Jun'ichi Tsujii
Kevin Knight
Mamoru Komachi
Mauro Barni
Miroslav Goljan
Nikola K. Kasabov
Tao Ban
Timothy Baldwin
Ting Liu 0001
A. Aydin Alatan
A. Keith Dunker
A. Murat Tekalp
Amit K. Roy-Chowdhury
André Kaup
Barry O'Sullivan
Béatrice Pesquet-Popescu
Christine Guillemot
Daniel Arbet
David R. Bull
Ebroul Izquierdo
Gene Cheung
Gerhard Rigoll
Guillermo Sapiro
Hayder Radha
Hongxun Yao
Ioannis Pitas
Jacinto C. Nascimento
Jerzy W. Rozenblit
Jian-Jiun Ding
Johannes Behr
Jorge S. Marques
Josef Kittler
Josiane Zerubia
Jürgen Seiler
Kai-Kuang Ma
Keigo Hirakawa
Leonard Barolli
Matthias Riebisch
Michael G. Strintzis
Michael R. Frater
Michel Barlaud
Moncef Gabbouj
Nam Ik Cho
Ngai-Man Cheung
Olivier Le Meur
Pier Luigi Dragotti
Rabab Kreidieh Ward
Rafael Molina 0001
Richard J. Cant
Rik Van de Walle
Robert D. Nowak
Russ B. Altman
Siwei Ma
Takafumi Aoki
Thomas S. Huang
Til Aach
Toby P. Breckon
Tsuhan Chen
Wen Gao 0001
Wilfried Philips
Yucel Altunbasak
Yuichi Tanaka 0001
Yusuke Gotoh
Zhenan Sun
Alan C. Evans
Albin J. Gasiewski
Alexander Roßnagel
Anthony Randal McIntosh
Bob Galliers
D. Louis Collins
Dajiang Zhou
Daniele Riccio
David G. Long
Dinggang Shen
Fabian Khateb
Fumihito Arai
Fumio Teraoka
Fumiyuki Adachi
Go Tanaka
Hermann A. Maurer
Hideto Ide
Hiroshi Kawaguchi
Hitoshi Kiya
Iwao Sasase
Jean-Pierre Wigneron
Jihong Guan
Joel T. Johnson
John-Dylan Haynes
Jong-Sen Lee
Jong-Wha Chong
Jun Li 0009
Karl J. Friston
Karl Rihaczek
Katrin Amunts
Kazuo Ohta
Kiyomichi Araki
Lorenzo Bruzzone
Makoto Nagata
Masao Yanagisawa
Masashi Sugiyama
Masayuki Murata
Muhammad Aslam Noor
N. Jon Shah
Nicholas Ayache
Nozomu Togawa
Satoshi Goto
Shigemasa Takai
Shin'ichi Yuta
Shingo Yamaguchi
Susumu Mori
Takeshi Ikenaga
Takuya Sakamoto
Tetsuo Tomizawa
Tomoaki Ohtsuki
Yi Zhang
Yoshiki Kayano
Yoshio Karasawa
Young-Hwan You
Abdelhak M. Zoubir
Alex B. Gershman
Ali H. Sayed
An Liu 0001
Andrew C. Singer
András Schubert
Anil K. Jain 0001
Baoyindureng Wu
Bart Thijs
Ciriaco Andrea D'Angelo
Cédric Richard
Dieter Rautenbach
Edward R. Dougherty
Georgios B. Giannakis
Gerard Salton
Giovanni Abramo
Gonzalo R. Arce
Greg Goth
H. Vincent Poor
Hai Jin 0001
Hal Berghel
Holger Boche
Hongbin Li
J. Fdez-Valdivia
Jian Li 0001
Jiancheng Guan
Jitendra K. Tugnait
Jixiang Meng
José C. Príncipe
K. C. Ho 0001
Kinkar Chandra Das
Larry Press
Lars Mathiassen
Lauren Weinstein
Lawrence Carin
Lee Spector
Leo Egghe
Li Zhou 0001
Loet Leydesdorff
Lutz Bornmann
Lutz Volkmann
Mark Guzdial
Mark Stamp
Martin Kutrib
Matt Bishop
Michail K. Tsatsanis
Mirka Miller
Moshe Y. Vardi
O. P. Lossers
Pamela Samuelson
Peter J. Denning
Peter Willett 0001
Petr A. Golovach
Pramod K. Varshney
Rangasami L. Kashyap
Robert G. Ferrell
Ronald Rousseau 0001
Rosa Rodriguez-Sánchez
Sajal K. Das 0001
Saïd Amghibech
Song-Chun Zhu
Steven M. Bellovin
Susanne C. Brenner
Tibor Braun
Ulrich Faigle
Vincent K. N. Lau
Vincent Larivière
Werner Marx
Wolfgang Glänzel
Xiaodong Wang 0001
Adi Shamir
Alessandro Chiesa
Alex M. Andrew
Amir Moradi 0001
Andrea Irace
Anil K. Jain 0001
Arjen K. Lenstra
Artur Wymyslowski
Bart Mennink
Bart Preneel
Carlos Pignataro
Charalampos Papamanthou
Chunming Tang
Dana Dachman-Soled
Dario Fiore
David Nicholas
Dawu Gu
Dean F. Kelley
Debdeep Mukhopadhyay
Dengguo Feng
Dexue Zhang
Dominique Unruh
Douglas R. Stinson
Edward Szczerbicki
Elaine Shi
Emmanuel Prouff
Eric C. Rosen
Francesco Iannuzzo
Gabriela Kennedy
Gary Scott Malkin
